Group,week,Embolse,conteo,Group_Count
4,29,346.5,1009,G4_C1009
4,30,354.75,1009,G4_C1009
4,31,368.75,1009,G4_C1009
4,32,360,1009,G4_C1009
4,33,345,1009,G4_C1009
4,34,316,1009,G4_C1009
4,35,318.25,1009,G4_C1009
4,36,309,1009,G4_C1009
4,37,313,1009,G4_C1009
4,38,337.25,1009,G4_C1009
4,39,321.25,1009,G4_C1009
4,40,310.5,1009,G4_C1009
4,41,318.5,1009,G4_C1009
4,42,298.25,1009,G4_C1009
4,43,288,1009,G4_C1009
4,44,310.5,1009,G4_C1009
4,45,303.25,1009,G4_C1009
4,46,344.5,1009,G4_C1009
4,47,385.75,1009,G4_C1009
4,48,412.25,1009,G4_C1009
4,49,457,1009,G4_C1009
5,1,719.75,70,G5_C70
5,2,665.75,70,G5_C70
5,3,584,70,G5_C70
5,4,533.25,70,G5_C70
5,5,523.5,70,G5_C70
5,6,545.25,70,G5_C70
5,7,546.25,70,G5_C70
5,8,560.5,70,G5_C70
5,9,545.75,70,G5_C70
5,10,527,70,G5_C70
5,11,567.25,70,G5_C70
5,12,575.75,70,G5_C70
5,13,610.5,70,G5_C70
5,14,638,70,G5_C70
5,15,645.75,70,G5_C70
5,16,686,70,G5_C70
5,17,712.25,70,G5_C70
5,18,744.25,70,G5_C70
5,19,760.25,70,G5_C70
5,20,757,70,G5_C70
5,21,743.25,70,G5_C70
5,22,741,70,G5_C70
5,23,758.25,70,G5_C70
5,24,761.75,70,G5_C70
5,25,793.75,70,G5_C70
5,26,798.75,70,G5_C70
5,27,753.75,70,G5_C70
5,28,760.25,70,G5_C70
5,29,709.5,70,G5_C70
5,30,702.25,70,G5_C70
5,31,665.5,70,G5_C70
5,32,615.5,70,G5_C70
5,33,592.75,70,G5_C70
5,34,537.5,70,G5_C70
5,35,544.75,70,G5_C70
5,36,545.75,70,G5_C70
5,37,537.5,70,G5_C70
5,38,574.75,70,G5_C70
5,39,582.25,70,G5_C70
5,40,574.75,70,G5_C70
5,41,608.25,70,G5_C70
5,42,617.25,70,G5_C70
5,43,643,70,G5_C70
5,44,678.5,70,G5_C70
5,45,708.75,70,G5_C70
5,46,729.75,70,G5_C70
5,47,758,70,G5_C70
5,48,765,70,G5_C70
5,49,786.75,70,G5_C70
7,1,430.75,17,G7_C17
7,2,369.25,17,G7_C17
7,3,279.5,17,G7_C17
7,4,209,17,G7_C17
7,5,141.25,17,G7_C17
7,6,76.5,17,G7_C17
7,7,47,17,G7_C17
7,8,35.25,17,G7_C17
7,9,35.25,17,G7_C17
7,10,36.75,17,G7_C17
7,11,37,17,G7_C17
7,12,44.5,17,G7_C17
7,13,48.25,17,G7_C17
7,14,68,17,G7_C17
7,15,96.25,17,G7_C17
7,16,133.25,17,G7_C17
7,17,212,17,G7_C17
7,18,318.25,17,G7_C17
7,19,424,17,G7_C17
7,20,645.5,17,G7_C17
7,21,775,17,G7_C17
7,22,919.75,17,G7_C17
7,23,911.25,17,G7_C17
7,24,846.5,17,G7_C17
7,25,759,17,G7_C17
7,26,592.5,17,G7_C17
7,27,580.25,17,G7_C17
7,28,473.25,17,G7_C17
7,29,410.5,17,G7_C17
7,30,364,17,G7_C17
7,31,294.75,17,G7_C17
7,32,269.25,17,G7_C17
7,33,228.75,17,G7_C17
7,34,188,17,G7_C17
7,35,160,17,G7_C17
7,36,103.75,17,G7_C17
7,37,95,17,G7_C17
7,38,89.5,17,G7_C17
7,39,87,17,G7_C17
7,40,89.75,17,G7_C17
7,41,104.25,17,G7_C17
7,42,147,17,G7_C17
7,43,218.5,17,G7_C17
7,44,298.25,17,G7_C17
7,45,400.75,17,G7_C17
7,46,499.25,17,G7_C17
